day_of_week,season,total_workers,cutting_workers,sewing_workers,finishing_workers,absent_workers,,,overtime_hours,cutting_output,sewing_output,finishing_output,final_output,daily_target,defect_rate,rework_percentage,machine_utilization,equipment_downtime,cutting_quality,sewing_quality,finishing_quality,workflow_blocked,bottleneck_department,reallocated_workers,diversion_success,productivity_gap,target_achieved,absence_rate
3,off-peak,72,15,41,16,7,,,1.23,339,587,310,304,185,0.0176,0.0208,0.7746,0,0.956,0.9028,0.904,1,Cutting,3,1,119,1,0.088607595
4,off-peak,56,12,32,12,8,,,3.66,374,642,312,287,167,0.02,0.088,0.9288,0,0.9743,0.8921,0.9079,1,Finishing,3,1,120,1,0.125
5,off-peak,58,12,34,12,6,,,0.56,265,473,246,241,105,0.0125,0.0236,0.807,0,0.9605,0.9102,0.9152,1,Cutting,5,1,136,1,0.09375
6,off-peak,56,13,35,8,7,,,2.6,306,588,178,166,129,0.0245,0.0728,0.7776,0,0.9653,0.858,0.944,1,Finishing,4,1,37,1,0.111111111
0,off-peak,46,11,25,10,9,,,1.1,263,412,279,245,103,0.0129,0.0731,0.9224,0,0.9702,0.9547,0.9892,1,Finishing,5,1,142,1,0.163636364
1,off-peak,52,12,32,8,6,,,0,205,370,163,159,161,0.029,0.0264,0.719,0.72,0.9577,0.9536,0.9758,1,Finishing,0,0,-2,0,0.103448276
2,off-peak,57,9,37,11,2,,,1.85,198,611,230,187,151,0.0231,0.0496,0.8235,0,0.9307,0.8721,0.9004,1,Cutting,0,0,36,1,0.033898305
3,off-peak,61,12,36,13,4,,,2.58,252,534,255,234,171,0.0257,0.0779,0.7011,0,0.9589,0.9713,0.9301,1,Finishing,3,1,63,1,0.061538462
4,off-peak,60,9,41,10,5,,,2.73,242,768,224,201,155,0.0253,0.1035,0.819,0,0.9389,0.943,0.9861,1,Cutting,4,1,46,1,0.076923077
5,off-peak,74,16,46,12,7,,,3.83,452,1011,297,269,152,0.0212,0.1049,0.8656,0,0.9583,0.9646,0.9404,1,Finishing,5,1,117,1,0.086419753
6,off-peak,68,13,45,10,6,,,3.08,351,924,244,223,140,0.0208,0.0951,0.8711,0,0.9296,0.8818,0.9174,1,Finishing,5,1,83,1,0.081081081
0,off-peak,70,17,37,16,11,,,0.43,432,693,394,369,195,0.0146,0.0651,0.9366,0,0.9539,0.8987,0.9255,1,Cutting,5,1,174,1,0.135802469
1,off-peak,75,18,43,14,6,,,4.07,565,879,339,302,183,0.0186,0.1098,0.9377,0,0.9393,0.8521,0.9069,1,Finishing,0,0,119,1,0.074074074
2,off-peak,56,9,39,8,3,,,0.68,201,758,207,183,172,0.0295,0.0963,0.9017,0,0.9454,0.9616,0.9742,1,Finishing,3,1,11,1,0.050847458
3,off-peak,74,15,42,17,3,,,2.62,397,811,362,343,206,0.0197,0.0535,0.7917,0,0.9724,0.9637,0.9795,1,Cutting,2,1,137,1,0.038961039
4,off-peak,72,15,44,13,3,,,2.21,338,640,261,236,182,0.0249,0.098,0.7763,0,0.9337,0.9704,0.9095,1,Finishing,0,0,54,1,0.04
5,off-peak,74,16,44,14,9,,,2.74,341,728,295,270,117,0.0151,0.0932,0.7166,0,0.9503,0.9397,0.9511,1,Finishing,2,1,153,1,0.108433735
6,off-peak,62,10,41,11,10,,,0,178,512,221,157,95,0.0158,0.0969,0.7319,0,0.9525,0.8714,0.9658,1,Cutting,0,0,62,1,0.138888889
0,off-peak,54,11,30,13,12,,,0.23,211,350,256,189,154,0.0241,0.0889,0.7486,0,0.9456,0.8779,0.9468,1,Cutting,2,1,35,1,0.181818182
1,off-peak,57,9,37,11,3,,,0,217,628,253,204,148,0.0228,0.0519,0.8835,0,0.9742,0.952,0.9205,1,Cutting,5,1,56,1,0.05
2,off-peak,78,14,45,19,5,,,0,305,772,411,263,195,0.0229,0.1028,0.8649,0,0.9269,0.9229,0.9108,1,Cutting,4,1,68,1,0.060240964
3,off-peak,62,14,37,11,10,,,0.23,259,499,254,240,165,0.0195,0.0614,0.7588,0,0.9593,0.8664,0.9855,1,Finishing,3,1,75,1,0.138888889
4,off-peak,54,11,34,9,3,,,3.65,305,622,195,191,139,0.0257,0.024,0.8189,0,0.98,0.9218,0.9042,1,Finishing,2,1,52,1,0.052631579
5,off-peak,72,11,46,15,6,,,0.55,231,674,296,204,151,0.023,0.0939,0.7427,0,0.9809,0.9046,0.9589,1,Cutting,3,1,53,1,0.076923077
6,off-peak,64,15,35,14,7,,,2.13,338,541,275,267,107,0.0117,0.0304,0.7847,0,0.9379,0.8789,0.918,1,Finishing,0,0,160,1,0.098591549
0,off-peak,67,12,43,12,8,,,3.47,345,858,281,255,192,0.0253,0.0951,0.8877,0,0.9692,0.9555,0.9309,1,Finishing,0,0,63,1,0.106666667
1,off-peak,57,13,32,12,9,,,0.57,244,469,259,239,133,0.0159,0.024,0.7251,0,0.9435,0.9126,0.9604,1,Finishing,4,1,106,1,0.136363636
2,peak,70,15,40,15,9,,,6.55,464,710,301,281,266,0.0375,0.0734,0.7548,0,0.9713,0.9174,0.901,1,Finishing,3,1,15,1,0.113924051
3,peak,69,15,43,11,15,,,6.07,431,893,248,221,238,0.0431,0.1186,0.7648,0,0.9416,0.9394,0.9512,1,Finishing,4,1,-17,0,0.178571429
4,peak,74,13,50,11,4,,,6.8,487,1041,288,264,266,0.0386,0.0907,0.9166,0,0.9837,0.8782,0.9748,1,Finishing,5,1,-2,0,0.051282051
5,peak,72,15,44,13,6,,,1.34,329,667,313,295,206,0.0209,0.0625,0.8349,0,0.9556,0.863,0.9327,1,Finishing,3,1,89,1,0.076923077
6,peak,51,12,29,10,5,,,3.96,332,610,232,217,138,0.0239,0.0699,0.8659,0,0.9244,0.9632,0.9167,1,Finishing,5,1,79,1,0.089285714
0,peak,65,11,39,15,9,,,6.41,394,999,412,363,242,0.0248,0.0828,0.9108,0,0.9505,0.9063,0.9815,1,Finishing,5,1,121,1,0.121621622
1,peak,65,14,38,13,8,,,2.21,366,761,314,305,253,0.028,0.0316,0.87,0,0.9898,0.9366,0.9236,1,Finishing,5,1,52,1,0.109589041
2,peak,61,13,34,14,9,,,1.23,308,566,310,271,214,0.0255,0.1199,0.8027,0,0.9582,0.9101,0.9811,1,Cutting,5,1,57,1,0.128571429
3,peak,77,14,48,15,5,,,6.42,436,927,373,342,293,0.0315,0.0913,0.844,0,0.9203,0.8554,0.9882,1,Finishing,5,1,49,1,0.06097561
4,peak,67,12,39,16,6,,,1.95,300,610,324,291,264,0.0316,0.0289,0.8158,0,0.9506,0.9612,0.9045,1,Cutting,2,1,27,1,0.082191781
5,peak,53,11,30,12,2,,,6.43,396,754,306,284,129,0.0182,0.0794,0.8874,0,0.973,0.9348,0.9456,1,Finishing,5,1,155,1,0.036363636
6,peak,72,11,48,13,3,,,3.2,257,691,258,243,177,0.0227,0.0566,0.767,0,0.9467,0.8961,0.9054,1,Cutting,0,0,66,1,0.04
0,peak,52,7,34,11,5,,,1.43,154,545,214,134,164,0.0377,0.095,0.7813,0,0.9643,0.9584,0.9154,1,Cutting,0,0,-30,0,0.087719298
1,peak,57,12,36,9,2,,,7.29,398,888,209,199,182,0.0395,0.0564,0.8098,0,0.9541,0.9747,0.9659,1,Finishing,4,1,17,1,0.033898305
2,peak,73,13,46,14,6,,,4.63,303,748,288,270,250,0.0334,0.0707,0.7071,0,0.9246,0.8999,0.9675,1,Finishing,2,1,20,1,0.075949367
3,peak,70,16,40,14,6,,,7.33,594,902,323,285,241,0.0296,0.1198,0.9107,0,0.9567,0.8547,0.9027,1,Finishing,0,0,44,1,0.078947368
4,peak,65,12,38,15,8,,,1.65,345,742,378,300,221,0.024,0.1191,0.9139,0,0.9717,0.8989,0.9813,1,Cutting,4,1,79,1,0.109589041
5,peak,50,11,29,10,5,,,3.72,160,250,114,109,135,0.04,0.0465,0.4643,3.11,0.9722,0.908,0.9611,1,Finishing,0,0,-26,0,0.090909091
6,peak,70,17,37,16,6,,,1.43,372,599,359,343,188,0.0173,0.0488,0.7843,0,0.9732,0.9077,0.9702,1,Finishing,4,1,155,1,0.078947368
0,peak,52,12,29,11,7,,,4.24,332,523,226,221,198,0.0293,0.0226,0.7693,0,0.9841,0.9004,0.9453,1,Finishing,0,0,23,1,0.118644068
1,peak,51,11,33,7,6,,,3.33,262,488,135,128,195,0.0494,0.0532,0.7559,0,0.9393,0.9263,0.9594,1,Finishing,0,0,-67,0,0.105263158
2,peak,56,12,31,13,3,,,5.6,338,576,272,263,213,0.0306,0.0392,0.7204,0,0.9781,0.9087,0.9779,1,Finishing,4,1,50,1,0.050847458
3,peak,70,15,43,12,11,,,0.69,357,684,335,321,238,0.023,0.0476,0.9419,0,0.928,0.9255,0.9623,1,Finishing,4,1,83,1,0.135802469
4,peak,65,15,34,16,3,,,0.15,338,507,358,323,245,0.0244,0.0424,0.8436,0,0.9828,0.9647,0.9382,1,Cutting,5,1,78,1,0.044117647
5,peak,50,8,32,10,5,,,2.93,229,615,256,214,151,0.0215,0.0598,0.9225,0,0.9575,0.886,0.9792,1,Cutting,0,0,63,1,0.090909091
6,peak,64,15,36,13,5,,,6.33,531,751,294,284,150,0.0179,0.0361,0.8714,0,0.9883,0.8575,0.9125,1,Finishing,0,0,134,1,0.072463768
0,peak,48,9,32,7,8,,,2.11,183,495,123,110,172,0.0478,0.1088,0.7058,0,0.9325,0.9217,0.9362,1,Finishing,0,0,-62,0,0.142857143
1,peak,51,8,36,7,6,,,3.58,188,472,144,135,177,0.0432,0.0714,0.7442,0,0.9378,0.8631,0.9241,1,Finishing,3,1,-42,0,0.105263158
2,peak,50,8,33,9,8,,,2.64,176,453,183,163,170,0.0311,0.0764,0.7291,0,0.9864,0.8778,0.9734,1,Cutting,0,0,-7,0,0.137931034
3,peak,60,11,36,13,8,,,5.69,356,746,325,301,213,0.0259,0.0817,0.8857,0,0.9602,0.8753,0.9535,1,Finishing,5,1,88,1,0.117647059
4,peak,62,14,34,14,5,,,7.11,446,616,340,316,200,0.0256,0.0781,0.8141,0,0.92,0.9158,0.9832,1,Finishing,3,1,116,1,0.074626866
5,peak,55,10,34,11,5,,,1.08,216,508,246,211,141,0.0197,0.0224,0.8592,0,0.9299,0.9345,0.9172,1,Cutting,0,0,70,1,0.083333333
6,peak,59,9,38,12,7,,,1.01,166,569,246,146,146,0.0303,0.0852,0.7693,0,0.92,0.9625,0.974,1,Cutting,0,0,0,1,0.106060606
0,peak,46,8,32,6,10,,,6.85,298,697,145,141,170,0.0466,0.0279,0.9007,0,0.9653,0.9602,0.9352,1,Finishing,0,0,-29,0,0.178571429
1,peak,74,12,50,12,8,,,6.55,439,1084,318,286,250,0.0352,0.1116,0.9464,0,0.9245,0.929,0.9432,1,Finishing,5,1,36,1,0.097560976
2,peak,48,9,31,8,16,,,6.75,280,595,167,151,164,0.041,0.0974,0.7819,0,0.948,0.9418,0.9509,1,Finishing,0,0,-13,0,0.25
3,peak,69,17,36,16,5,,,9.1,373,472,222,217,252,0.0536,0.026,0.4749,3.94,0.9539,0.9794,0.9606,1,Finishing,4,1,-35,0,0.067567568
4,peak,65,14,38,13,12,,,2.68,336,693,277,252,247,0.0302,0.0921,0.785,0,0.9527,0.9058,0.958,1,Finishing,0,0,5,1,0.155844156
5,peak,68,16,39,13,5,,,6.67,566,801,339,303,175,0.0221,0.1154,0.8997,0,0.9297,0.8789,0.9519,1,Finishing,5,1,128,1,0.068493151
6,peak,70,12,45,13,4,,,1.57,342,787,332,301,198,0.0207,0.0946,0.9488,0,0.9727,0.9031,0.9744,1,Cutting,5,1,103,1,0.054054054
0,peak,69,12,40,17,7,,,6.6,389,880,411,358,223,0.024,0.0818,0.816,0,0.9408,0.9443,0.9821,1,Finishing,5,1,135,1,0.092105263
1,peak,74,18,41,15,6,,,0.54,386,657,354,321,273,0.0269,0.1036,0.8373,0,0.9624,0.9425,0.9289,1,Finishing,4,1,48,1,0.075
2,peak,65,13,40,12,4,,,2.64,351,887,294,277,247,0.0319,0.0656,0.9053,0,0.9647,0.9735,0.9044,1,Finishing,5,1,30,1,0.057971014
3,peak,53,9,34,10,6,,,6.25,316,779,223,203,212,0.038,0.0932,0.8945,0,0.9769,0.9246,0.9171,1,Finishing,0,0,-9,0,0.101694915
4,peak,70,12,44,14,6,,,0,272,798,313,243,230,0.0289,0.0946,0.8936,0,0.9215,0.9184,0.9049,1,Cutting,3,1,13,1,0.078947368
5,peak,76,13,45,18,4,,,3.02,367,959,454,324,192,0.0178,0.0954,0.9405,0,0.9407,0.8714,0.9453,1,Cutting,0,0,132,1,0.05
6,peak,76,18,40,18,6,,,4.22,440,709,374,334,183,0.0202,0.1153,0.7044,0,0.9576,0.9318,0.9895,1,Finishing,2,1,151,1,0.073170732
0,peak,69,15,41,13,9,,,5.92,466,669,284,274,256,0.0343,0.0411,0.8008,0,0.9898,0.8725,0.9131,1,Finishing,2,1,18,1,0.115384615
1,peak,67,10,46,11,3,,,2.77,240,833,228,208,253,0.0434,0.097,0.7816,0,0.94,0.9647,0.9146,1,Finishing,4,1,-45,0,0.042857143
2,peak,72,17,42,13,5,,,1.27,378,679,318,294,260,0.0294,0.0824,0.8451,0,0.943,0.9591,0.9686,1,Finishing,4,1,34,1,0.064935065
3,peak,54,11,31,12,7,,,2.97,241,503,224,220,197,0.029,0.0226,0.7066,0,0.9778,0.873,0.905,1,Finishing,2,1,23,1,0.114754098
4,peak,66,13,43,10,1,,,2.77,347,801,254,231,242,0.0337,0.0986,0.9044,0,0.9466,0.8674,0.9389,1,Finishing,4,1,-11,0,0.014925373
5,peak,73,12,46,15,5,,,8.21,474,1061,353,321,176,0.0224,0.093,0.911,0,0.9716,0.9666,0.9291,1,Finishing,0,0,145,1,0.064102564
6,peak,49,7,31,11,7,,,0.48,145,485,243,140,136,0.0262,0.0213,0.8278,0,0.9469,0.8774,0.9676,1,Cutting,0,0,4,1,0.125
0,peak,50,9,31,10,8,,,2.92,257,626,230,217,203,0.0297,0.0572,0.9022,0,0.9773,0.9245,0.9025,1,Finishing,0,0,14,1,0.137931034
1,peak,73,16,45,12,7,,,0.27,274,547,243,219,247,0.0322,0.1104,0.7431,0,0.9213,0.8622,0.9133,1,Finishing,4,1,-28,0,0.0875
2,peak,63,10,39,14,8,,,7.56,379,768,317,300,218,0.0259,0.0564,0.8674,0,0.9857,0.8612,0.9295,1,Finishing,0,0,82,1,0.112676056
3,peak,51,12,29,10,8,,,4.4,324,454,230,212,195,0.0324,0.0882,0.8304,0,0.9334,0.8846,0.9346,1,Finishing,2,1,17,1,0.13559322
4,peak,69,12,42,15,6,,,5.82,401,1047,402,381,259,0.0254,0.0541,0.9224,0,0.9397,0.8953,0.956,1,Finishing,2,1,122,1,0.08
5,peak,72,16,44,12,7,,,5.5,445,842,258,234,189,0.0292,0.1015,0.7389,0,0.9612,0.8676,0.959,1,Finishing,2,1,45,1,0.088607595
6,peak,52,8,34,10,4,,,8.1,245,613,214,202,119,0.0259,0.0634,0.7002,0,0.9763,0.9656,0.9873,1,Finishing,3,1,83,1,0.071428571
0,peak,57,8,40,9,4,,,6.57,229,874,195,178,202,0.0457,0.099,0.7504,0,0.9238,0.9303,0.9467,1,Finishing,3,1,-24,0,0.06557377
1,peak,63,10,44,9,9,,,0.91,183,581,181,166,212,0.0426,0.0915,0.7262,0,0.9335,0.9798,0.9176,1,Finishing,4,1,-46,0,0.125
2,peak,74,14,44,16,9,,,1.5,403,765,379,369,288,0.0237,0.0283,0.9227,0,0.9782,0.9123,0.9235,1,Cutting,2,1,81,1,0.108433735
3,peak,61,13,35,13,11,,,0.98,332,646,310,276,213,0.0237,0.1104,0.8797,0,0.9543,0.9476,0.9464,1,Cutting,3,1,63,1,0.152777778
4,peak,70,14,42,14,5,,,3.33,385,672,354,316,267,0.0276,0.1182,0.8733,0,0.9343,0.8576,0.9491,1,Finishing,4,1,49,1,0.066666667
5,peak,78,11,53,14,3,,,4.28,303,916,293,274,174,0.0224,0.065,0.7558,0,0.9314,0.9094,0.9721,1,Cutting,3,1,100,1,0.037037037
6,peak,64,10,39,15,6,,,3.44,305,867,362,278,180,0.0203,0.0773,0.9452,0,0.981,0.8912,0.9275,1,Cutting,0,0,98,1,0.085714286
0,peak,64,14,38,12,10,,,4.91,416,742,275,251,234,0.0364,0.0979,0.8122,0,0.9804,0.963,0.9424,1,Finishing,3,1,17,1,0.135135135
1,peak,72,12,44,16,7,,,7.2,393,828,318,286,271,0.0356,0.1036,0.8071,0,0.9687,0.9198,0.9017,1,Finishing,0,0,15,1,0.088607595
2,peak,68,12,41,15,2,,,6.64,449,1100,380,362,223,0.0261,0.0537,0.9364,0,0.9462,0.9778,0.9032,1,Finishing,2,1,139,1,0.028571429
3,peak,54,12,31,11,4,,,4.63,197,383,139,131,182,0.0491,0.0611,0.4719,2.8,0.9217,0.9572,0.9825,1,Finishing,0,0,-51,0,0.068965517
4,peak,68,11,44,13,7,,,6.91,352,888,305,289,244,0.0339,0.0574,0.7982,0,0.955,0.9187,0.9623,1,Finishing,2,1,45,1,0.093333333
5,peak,60,13,33,14,2,,,6.62,431,677,308,292,160,0.02,0.0542,0.8464,0,0.961,0.9142,0.928,1,Finishing,0,0,132,1,0.032258065
6,peak,64,9,43,12,5,,,0.14,179,579,218,173,144,0.0261,0.0293,0.7061,0,0.9892,0.9423,0.9468,1,Cutting,4,1,29,1,0.072463768
0,peak,75,15,44,16,9,,,6.54,464,879,389,375,275,0.0293,0.0388,0.8243,0,0.9242,0.9289,0.9727,1,Finishing,5,1,100,1,0.107142857
1,peak,73,12,45,16,6,,,2.77,274,603,289,258,262,0.0315,0.0559,0.7186,0,0.9687,0.9068,0.9224,1,Cutting,0,0,-4,0,0.075949367
2,peak,83,16,51,16,1,,,4.09,473,955,435,416,303,0.0262,0.0491,0.9067,0,0.939,0.9207,0.9874,1,Finishing,4,1,113,1,0.011904762
3,peak,73,16,40,17,5,,,3.43,408,646,357,340,255,0.0264,0.0529,0.7893,0,0.9732,0.9258,0.9049,1,Finishing,4,1,85,1,0.064102564
4,peak,72,17,43,12,6,,,8.55,561,833,251,243,276,0.0476,0.0373,0.7212,0,0.9789,0.9055,0.9406,1,Finishing,4,1,-33,0,0.076923077
5,peak,58,9,40,9,2,,,5.46,255,747,199,179,137,0.0272,0.1093,0.7675,0,0.9831,0.8561,0.9595,1,Finishing,5,1,42,1,0.033333333
6,peak,75,12,51,12,8,,,0,237,599,244,224,188,0.0243,0.0563,0.7844,0,0.9335,0.8735,0.9289,1,Cutting,2,1,36,1,0.096385542
0,peak,59,9,41,9,8,,,4.24,262,815,203,184,199,0.0348,0.0938,0.8483,0,0.9867,0.8841,0.9818,1,Finishing,0,0,-15,0,0.119402985
1,peak,71,13,47,11,10,,,0.99,280,618,254,233,265,0.0338,0.0902,0.8342,0,0.9396,0.8712,0.9434,1,Finishing,3,1,-32,0,0.12345679
2,peak,64,15,37,12,7,,,3.85,392,646,244,232,231,0.0328,0.0522,0.7702,0,0.988,0.9218,0.9241,1,Finishing,0,0,1,1,0.098591549
3,peak,56,13,35,8,5,,,0.19,279,573,187,179,189,0.0303,0.0437,0.8875,0,0.9407,0.9485,0.9602,1,Finishing,0,0,-10,0,0.081967213
4,peak,65,12,38,15,6,,,4.77,414,914,402,367,236,0.0249,0.0957,0.9493,0,0.9721,0.9589,0.9192,1,Finishing,3,1,131,1,0.084507042
5,peak,68,12,40,16,5,,,7.45,448,827,365,354,181,0.0203,0.0307,0.871,0,0.987,0.9623,0.9306,1,Finishing,0,0,173,1,0.068493151
6,peak,73,11,46,16,5,,,3.29,310,796,324,298,190,0.0212,0.0396,0.7695,0,0.99,0.8629,0.9456,1,Cutting,5,1,108,1,0.064102564
0,peak,55,13,30,12,6,,,6.51,449,749,299,274,209,0.0305,0.0913,0.8672,0,0.9507,0.9245,0.9671,1,Finishing,5,1,65,1,0.098360656
1,peak,75,14,45,16,8,,,5.97,451,1056,420,392,268,0.0268,0.0725,0.8673,0,0.94,0.9279,0.9869,1,Finishing,5,1,124,1,0.096385542
2,off-peak,74,18,38,18,9,,,0.63,392,592,421,359,187,0.0141,0.0803,0.8493,0,0.9863,0.8751,0.9815,1,Cutting,0,0,172,1,0.108433735
3,off-peak,72,16,39,17,8,,,0,326,608,379,282,191,0.0215,0.1163,0.8079,0,0.9244,0.9509,0.9854,1,Cutting,4,1,91,1,0.1
4,off-peak,55,11,31,13,3,,,3.7,245,450,255,237,132,0.0181,0.0374,0.7158,0,0.9252,0.8827,0.916,1,Finishing,5,1,105,1,0.051724138
5,off-peak,51,8,35,8,6,,,2.79,212,636,193,174,88,0.0164,0.1085,0.8583,0,0.9382,0.8747,0.9413,1,Finishing,2,1,86,1,0.105263158
6,off-peak,63,12,37,14,6,,,2.53,349,621,354,323,117,0.0125,0.0745,0.9444,0,0.924,0.9266,0.9525,1,Cutting,2,1,206,1,0.086956522
0,off-peak,50,8,34,8,11,,,1.39,144,450,149,130,155,0.0336,0.0997,0.7065,0,0.9537,0.8793,0.9372,1,Cutting,0,0,-25,0,0.180327869
1,off-peak,72,11,44,17,9,,,1.84,280,795,382,244,186,0.0248,0.0955,0.8509,0,0.9263,0.8902,0.9384,1,Cutting,3,1,58,1,0.111111111
2,off-peak,66,15,41,10,8,,,1.84,365,755,235,231,176,0.0255,0.0214,0.8339,0,0.9893,0.9459,0.9295,1,Finishing,3,1,55,1,0.108108108
3,off-peak,70,11,48,11,8,,,1.3,239,657,244,221,183,0.0253,0.0815,0.7584,0,0.9766,0.9003,0.975,1,Finishing,4,1,38,1,0.102564103
4,off-peak,60,13,35,12,6,,,2.81,323,663,287,275,138,0.0164,0.0474,0.8331,0,0.926,0.8799,0.969,1,Finishing,4,1,137,1,0.090909091
5,off-peak,63,11,38,14,12,,,2.86,307,843,342,295,121,0.0132,0.0357,0.9154,0,0.9786,0.9386,0.9545,1,Cutting,0,0,174,1,0.16
6,off-peak,74,17,44,13,4,,,0,390,729,363,325,144,0.014,0.1149,0.9476,0,0.9513,0.9692,0.9686,1,Finishing,5,1,181,1,0.051282051
0,off-peak,64,11,40,13,12,,,1.05,270,650,287,242,184,0.0237,0.1001,0.8301,0,0.9449,0.8878,0.9295,1,Cutting,2,1,58,1,0.157894737
1,off-peak,56,9,34,13,1,,,0.89,198,592,271,177,156,0.0299,0.0799,0.7963,0,0.9279,0.9731,0.9477,1,Cutting,3,1,21,1,0.01754386
2,off-peak,57,10,38,9,7,,,1.67,257,623,207,195,130,0.0192,0.0616,0.9124,0,0.9856,0.886,0.93,1,Finishing,0,0,65,1,0.109375
3,off-peak,72,14,42,16,3,,,2.06,305,603,299,292,202,0.0218,0.0246,0.725,0,0.9229,0.8845,0.9161,1,Cutting,3,1,90,1,0.04
4,off-peak,55,13,30,12,3,,,0,251,449,255,237,142,0.0169,0.0561,0.7873,0,0.9861,0.9422,0.938,1,Cutting,0,0,95,1,0.051724138
5,off-peak,75,16,46,13,2,,,0.52,310,746,288,272,156,0.0183,0.0614,0.7804,0,0.9484,0.9551,0.9536,1,Finishing,3,1,116,1,0.025974026
6,off-peak,67,12,42,13,3,,,2.55,262,663,263,252,122,0.0154,0.0414,0.7415,0,0.9237,0.8749,0.9241,1,Finishing,3,1,130,1,0.042857143
0,off-peak,59,13,32,14,9,,,2.33,304,512,302,295,164,0.018,0.0263,0.8144,0,0.9425,0.9646,0.9591,1,Finishing,0,0,131,1,0.132352941
1,off-peak,51,11,33,7,11,,,3.82,328,639,167,157,136,0.0311,0.0651,0.9017,0,0.961,0.9288,0.9181,1,Finishing,5,1,21,1,0.177419355
2,off-peak,52,11,30,11,6,,,2.47,305,534,280,264,159,0.019,0.0633,0.8975,0,0.9748,0.8671,0.9596,1,Finishing,5,1,105,1,0.103448276
3,off-peak,49,9,30,10,7,,,1.22,220,471,219,198,144,0.0243,0.097,0.7767,0,0.9812,0.9474,0.9772,1,Cutting,4,1,54,1,0.125
4,off-peak,54,13,31,10,7,,,0,232,449,212,191,147,0.0235,0.1089,0.7515,0,0.9497,0.9363,0.9064,1,Finishing,4,1,44,1,0.114754098
5,off-peak,66,15,41,10,10,,,3.94,460,865,260,252,114,0.0155,0.0333,0.9383,0,0.9374,0.882,0.9168,1,Finishing,3,1,138,1,0.131578947
6,off-peak,65,13,38,14,9,,,0.3,270,636,318,248,118,0.0133,0.0697,0.8517,0,0.9571,0.9177,0.9616,1,Cutting,0,0,130,1,0.121621622
0,off-peak,61,10,40,11,6,,,1.59,256,717,251,223,188,0.0282,0.1117,0.8855,0,0.9335,0.9502,0.915,1,Cutting,5,1,35,1,0.089552239
1,off-peak,52,12,29,11,6,,,1.79,263,430,245,238,163,0.0217,0.032,0.7398,0,0.9758,0.8964,0.9842,1,Finishing,2,1,75,1,0.103448276
2,off-peak,74,11,50,13,6,,,1.71,320,954,326,289,218,0.0266,0.0958,0.9373,0,0.9864,0.9727,0.9734,1,Cutting,5,1,71,1,0.075
3,off-peak,59,9,40,10,7,,,0,167,510,198,156,143,0.0272,0.0574,0.7204,0,0.9228,0.8929,0.9657,1,Cutting,2,1,13,1,0.106060606
4,off-peak,52,11,30,11,5,,,1.19,276,497,297,253,131,0.0159,0.0847,0.9417,0,0.9794,0.9644,0.9414,1,Finishing,4,1,122,1,0.087719298
5,off-peak,56,9,37,10,5,,,0,194,547,255,171,116,0.0188,0.0933,0.9391,0,0.9662,0.9257,0.9763,1,Cutting,0,0,55,1,0.081967213
6,off-peak,52,8,34,10,6,,,1.45,178,399,189,167,106,0.0196,0.0627,0.7212,0,0.962,0.8676,0.9392,1,Cutting,2,1,61,1,0.103448276
0,off-peak,65,14,41,10,11,,,2.23,310,597,225,205,191,0.0287,0.097,0.773,0,0.9642,0.8506,0.9544,1,Finishing,5,1,14,1,0.144736842
1,off-peak,45,8,31,6,13,,,0,180,599,165,162,134,0.0262,0.022,0.9392,0,0.9651,0.9777,0.9281,1,Finishing,2,1,28,1,0.224137931
2,off-peak,51,10,29,12,4,,,2.45,251,457,270,229,135,0.019,0.0849,0.8118,0,0.9467,0.8657,0.9891,1,Cutting,3,1,94,1,0.072727273
3,off-peak,64,15,38,11,4,,,1.98,344,599,232,225,188,0.0254,0.0304,0.8015,0,0.9346,0.9209,0.9715,1,Finishing,0,0,37,1,0.058823529
4,off-peak,55,9,35,11,6,,,0,203,410,243,187,145,0.0219,0.0685,0.8313,0,0.9823,0.8504,0.9254,1,Cutting,2,1,42,1,0.098360656
5,off-peak,57,8,39,10,3,,,1.11,203,596,214,182,93,0.0153,0.0989,0.8689,0,0.9397,0.852,0.9104,1,Cutting,5,1,89,1,0.05
6,off-peak,63,13,40,10,10,,,0.35,278,732,255,232,115,0.0159,0.1011,0.8633,0,0.9342,0.9686,0.9589,1,Finishing,5,1,117,1,0.136986301
0,off-peak,44,6,28,10,11,,,1.82,143,490,233,128,101,0.0235,0.0674,0.8722,0,0.9395,0.9081,0.9386,1,Cutting,0,0,27,1,0.2
1,off-peak,66,11,44,11,7,,,0,215,582,230,192,171,0.0238,0.1082,0.776,0,0.9858,0.8825,0.9283,1,Finishing,2,1,21,1,0.095890411
2,off-peak,56,9,39,8,2,,,0,210,685,191,185,133,0.019,0.0334,0.9035,0,0.9274,0.8789,0.9453,1,Cutting,2,1,52,1,0.034482759
3,off-peak,72,13,48,11,8,,,3.75,341,819,251,236,213,0.0328,0.0664,0.7738,0.75,0.9683,0.9436,0.9502,1,Finishing,4,1,23,1,0.1
4,off-peak,63,9,45,9,2,,,1.23,216,703,215,194,149,0.0234,0.1015,0.9065,0,0.9785,0.9578,0.9142,1,Finishing,0,0,45,1,0.030769231
5,off-peak,55,9,33,13,4,,,0,154,459,245,142,129,0.0283,0.0517,0.7179,0,0.9261,0.9358,0.9233,1,Cutting,5,1,13,1,0.06779661
